Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
13821,10143,下城社區,Xiacheng Community,13,,0,121.5235251,24.96347353,安康路一段271號同向(向東),"121.5235251, 24.96347353"
13823,10143,胡璉故居紀念館,Mansion of General Hu-Lien,14,-1,0,121.5259804,24.96294489,安康路一段152號同向(向東),"121.5259804, 24.96294489"
13825,10143,頂城,Dingcheng,15,,0,121.528339,24.961725,安康路一段74號同向(向南),"121.528339, 24.961725"
13833,10143,碧潭橋頭,Bitan Bridge,19,,0,121.53982,24.963158,北新路一段139號對面(向北),"121.53982, 24.963158"
13835,10143,檳榔路,Binlang Rd.,20,,0,121.5405875,24.96500149,光明街288號同向(向北),"121.5405875, 24.96500149"
13837,10143,捷運新店區公所站(北新),MRT Xindian City Hall Sta.(Beixin),21,,0,121.5416161,24.96763874,北新路一段86號(向北),"121.5416161, 24.96763874"
187028,17700,三樹路,Sanshu Rd.,2,,0,121.380694,24.943771,新北市三峽區三樹路284號,"121.380694, 24.943771"
187029,17700,農業改良場,Agricultural Research and Extension Station,3,,0,121.383532,24.944521,佳園路三段農場改場大門右邊(向北),"121.383532, 24.944521"
150928,16282,海景園中園,Haijing Yuanzhongyuan,22,,0,121.439259,25.175404,淡水區新民街25號,"121.439259, 25.175404"
150929,16282,淡水新城,Tamsui Xincheng,23,,0,121.4388526,25.174583,新生街72號對面,"121.4388526, 25.174583"
150930,16282,重建街口,Chongjian St. Intersection,24,,0,121.43977,25.1724,文化路15號(向東),"121.43977, 25.1724"
150932,16282,華南銀行,HuaNan Commercial Bank,26,,0,121.4443313,25.16945776,中山路1號同向(向西),"121.4443313, 25.16945776"
14355,10732,秀景里,Xiujing Village,38,,0,121.5259498,24.99096231,成功路105號同向(向北),"121.5259498, 24.99096231"
14357,10732,范厝,Fancuo,39,,0,121.526302,24.993685,成功路19號(向北),"121.526302, 24.993685"
14359,10732,秀朗路三段70巷,Xiulang Rd. Sec. 3 Lane 70,40,-1,0,121.526436,24.994659,秀朗路三段105號同向(向北),"121.526436, 24.994659"
14367,10732,永元路,Yongyuan Rd.,44,,0,121.5223852,25.00128301,永元路34號(向北),"121.5223852, 25.00128301"
14369,10732,福和國中,Fuhe Junior High School,45,,0,121.5214637,25.00334915,永利路87號(向西),"121.5214637, 25.00334915"
14371,10732,福和國中(永貞路),Fuhe Junior High School(Yongjhen Rd. ),46,,0,121.5206401,25.005498,新北市永和區永貞路68號對面,"121.5206401, 25.005498"
14373,10732,永和區公所(竹林路),Yonghe City Office,47,,0,121.520668,25.009245,新北市竹林路197號前(向北),"121.520668, 25.009245"
198472,16565,龍洞,Longdong,18,0,0,121.9125304,25.114388,,"121.9125304, 25.114388"
198473,16565,和美國小,Hemei Elementary School,19,0,0,121.919128,25.112353,,"121.919128, 25.112353"
21100,10325,敦化和平路口,Dunhua & Heping Intersection,50,-1,0,121.54898,25.02391,敦化南路二段289號(向北),"121.54898, 25.02391"
21102,10325,大安國中,Daan Junior High School,52,,0,121.5489397,25.03061531,敦化南路二段93號同向(向北),"121.5489397, 25.03061531"
21104,10325,仁愛國中,Renai Junior High School,54,,0,121.5490898,25.03595107,敦化南路一段277號(向北),"121.5490898, 25.03595107"
21105,10325,安和敦化路口,Anhe-Dunhua Intersection,55,,0,121.5489579,25.03976179,敦化南路一段277號同向(向北),"121.5489579, 25.03976179"
21106,10325,捷運忠孝敦化站,MRT Zhongxiao Dunhua Station,56,-1,0,121.549174,25.0430127,敦化南路一段173號同向(向北),"121.549174, 25.0430127"
21107,10325,市民大道口,Civil Boulevard Intersection,57,,0,121.5491941,25.04575795,敦化南路一段57號(向北),"121.5491941, 25.04575795"
