name,star,comment,class,address,latitude,longitude
日日杯茶飲,4.9,168,冰品飲料店,新北市中和區景平路574號,24.9955362,121.5016896
李記紅茶冰 文山木新店,4.2,30,冰品飲料店,台北市文山區木新路三段181號,24.981511,121.5603632
兔子茶飲,4.3,13,冰品飲料店,新北市中和區景平路73號,24.9916396,121.5182343
蒔三SHI SAN TEA - 新北中和店,4.7,45,冰品飲料店,新北市中和區圓通路162之5號,24.9951589,121.4974281
吳家紅茶冰台北木新店,4.3,48,冰品飲料店,台北市文山區木新路三段306號,24.9809322,121.5573103
谷雨茶水舖,4.8,86,冰品飲料店,新北市中和區建一路103號,25.0015424,121.488223
馬祖奶茶（文山木新店）,4.5,48,冰品飲料店,台北市文山區木新路三段33號,24.9824552,121.5645275
茶聚CHAGE文山木新店,4.3,58,冰品飲料店,台北市文山區木新路二段262號,24.9831829,121.5660561
五桐號WooTea 新北南勢角店,4,319,冰品飲料店,新北市中和區興南路一段94號,24.9891449,121.509785
COMEBUY_中和大勇店,3.6,184,冰品飲料店,新北市中和區大勇街27巷2號,24.9936789,121.5172163
大苑子台北木新店,4.1,248,冰品飲料店,台北市文山區木新路三段141號,24.9817883,121.5616159
木昂手作-樹林鎮前店,4.9,37,冰品飲料店,新北市樹林區鎮前街146號,24.9903955,121.4245155
予無憂飲品工作室 中和立人店,4.7,118,冰品飲料店,新北市中和區立人街21號,24.993971,121.521274
清心福全三峽文化店-珍珠奶茶手搖飲料專賣店,3.6,58,無酒精飲料店,新北市三峽區文化路16號,24.9358682,121.3733162
清心福全三峽中華店-珍珠奶茶手搖飲料專賣店,3.7,73,珍珠奶茶,新北市三峽區中華路21號1樓,24.9317207,121.3733697
正統茗茶製茶廠,4.7,12,茶葉店,新北市三峽區竹崙路97號,24.916712,121.433076
昱德茗茶,0,0,茶葉店,新北市三峽區竹崙路66號,24.9192167,121.4320743
海山綠葉茶園,0,0,茶葉店,新北市三峽區,24.9256438,121.4267134
金門仔飲料專賣店,4.4,118,冰品飲料店,新北市三重區大智街236號,25.0725835,121.4895396
雲森茶業,0,0,茶葉店, 728 999,23.4857501,120.0843006
來壺果飲,4.6,87,果汁,新北市三峽區大德路153號,24.9451932,121.37561
李記紅茶冰-北大龍瑩店,5,7,冰品飲料店,新北市樹林區佳園路三段132-1號,24.9499518,121.3857262
麻古茶坊三峽北大店,3.5,172,珍珠奶茶,新北市三峽區國際一街30號,24.9427912,121.3736611
茶米屋86,5,5,冰品飲料店,新北市三芝區長勤街86號,25.2550708,121.5001433
三芝農夫市集 璽揚揚手做吐司、蛋黃酥、香草茶,5,66,冰品飲料店,新北市三芝區,25.2464414,121.5080817
CoCo都可 三芝店,4.4,464,冰品飲料店,新北市三芝區中正路一段53號,25.2580262,121.5033625
葵可麗,5,4,冰品飲料店,新北市三芝區中正路一段73號,25.2570618,121.5040849
清心福全三芝店-珍珠奶茶手搖飲料專賣店,3.7,101,冰品飲料店,新北市三芝區淡金路二段14號,25.2595481,121.5024722
三芝快可立,4.4,24,珍珠奶茶,新北市三芝區淡金路二段2號,25.2592512,121.5022722
休閒小站新鮮茶飲專賣,4.6,43,飲料,新北市三芝區中正路一段16號,25.2589791,121.5029035
茗恩茶莊,4.5,15,茶葉店,新北市三芝區公正街三段4號,25.2568123,121.4989681
御品香茗茶,0,0,茶葉店,新北市三芝區中山路一段110號,25.2562489,121.5024908
珞樂樂,4.8,49,冰品飲料店,新北市三芝區埔坪里埔頭坑88之7號,25.2547291,121.5068226
