name,latitude,longitude
實踐國中(木新路三段310巷口),24.98339,121.55645
師範大學公館校區,25.00753,121.53719
捷運動物園站(2號出口),24.99766,121.57875
政大水岸電梯,24.982,121.5717
敦南山林,25.00264,121.5768
辛亥路五段73巷口,24.99811,121.55307
景美污水抽水站,25.01076,121.53637
萬和三號公園(北側),25.00345,121.53636
景興國中,24.99609,121.54284
景仁公園,24.9966,121.5403
師大公館校區學二舍,25.00825,121.53419
景行公園,24.99279,121.54255
萬興國小,24.98939,121.57682
辛亥路四段77巷口,25.00743,121.55877
景興路42巷口,24.99696,121.54454
木柵路三段48巷,24.98768,121.56565
木柵路二段109巷,24.98944,121.56195
試院公園,24.98808,121.54723
萬美萬安街口,25.00223,121.57039
興隆路二段203巷(敦南),25.00198,121.54856
新光秀明路口,24.99197,121.57371
光輝路134巷口,24.98532,121.55831
光輝公園,24.98655,121.5552
臺北自來水事業處,25.013741,121.53068
汀州思源街口東南側,25.014697,121.531908
捷運公館站(1號出口),25.014529,121.534374
捷運公館站(4號出口),25.015069,121.533828
捷運古亭站(9號出口),25.02694,121.52224
捷運古亭站(2號出口),25.0255,121.52346
捷運臺電大樓站(1號出口),25.0197,121.529
客家文化主題公園,25.02069,121.52456
河堤國小,25.02277,121.52289
紀州庵,25.02092,121.52049
捷運臺電大樓站(5號出口),25.02075,121.52771
捷運臺電大樓站(4號出口),25.02102,121.52751
羅斯福三段金門街口,25.02345,121.52498
牯嶺公園,25.02338,121.51889
捷運古亭站(8號出口),25.02701,121.52164
捷運古亭站(7號出口),25.02805,121.52155
南昌公園,25.02698,121.52081
和平重慶路口,25.02723,121.51659
孫立人將軍官邸,25.02933,121.51854
羅斯福路二段6巷口,25.02923,121.52058
金華杭州南路口,25.031,121.52211
捷運中正紀念堂站(3號出口),25.03239,121.51866
捷運中正紀念堂站(4號出口),25.03376,121.51772
重慶南海路口西南側,25.03124,121.51459
螢橋國小,25.02626,121.51402
古亭智慧圖書館,25.02543,121.51052
永昌公園,25.02643,121.50936
中華路二段409巷口,25.02598,121.50806
南機場夜市(中華路二段),25.02886,121.50518
南海和平路口西南側,25.03024,121.50904
莒光和平路口,25.03132,121.50745
水源路11-1號旁,25.01602,121.52565
南門國中,25.03543,121.50834
捷運小南門站(2號出口),25.03567,121.51006
介壽公園,25.03907,121.5138
中華貴陽街口,25.03938,121.50772
華山文創園區,25.04367,121.52849
捷運善導寺站(1號出口),25.04527,121.5222
濟南紹興路口,25.04193,121.52459
林森仁愛路口,25.03915,121.52163
中正運動中心,25.03786,121.51985
信義杭州路口,25.0357,121.5241
捷運善導寺站(3號出口),25.04428,121.52336
捷運小南門站(1號出口),25.03648,121.50951
延平南路133巷口,25.03792,121.50846
捷運西門站(2號出口),25.0416,121.50842
寶慶博愛路口,25.04129,121.5112
法務部,25.03705,121.51249
臺北市立大學(博愛校區),25.03545,121.51327
國家圖書館,25.03763,121.51709
市民金山路口,25.0459,121.53068
聯合醫院和平院區,25.03516,121.50641
中山堂,25.04412,121.51025
中華漢口街口,25.04533,121.50944
中華路一段21巷口,25.04677,121.50989
捷運臺大醫院站(4號出口),25.04297,121.51643
寶藏巖觀音亭,25.01027,121.5331
師大水源路口,25.0203,121.52302
中山徐州路口,25.04176,121.51866
信義連雲街口,25.03377,121.53041
臺北轉運站,25.04842,121.51994
莒光大埔街口,25.03132,121.50519
捷運忠孝新生站(2號出口),25.04235,121.53222
光華商場,25.04478,121.53274
中山青島路口,25.04503,121.51968
捷運中正紀念堂站(5號出口),25.03526,121.5168
北平東杭州北路口,25.04553,121.52736
王貫英先生紀念圖書館,25.02266,121.52362
金山信義路口,25.03443,121.52721
林森徐州路口,25.04094,121.52215
徐州杭州路口,25.04023,121.52565
捷運中正紀念堂站(6號出口),25.03615,121.5166
捷運臺北車站(M2出口),25.04821,121.51903
臺北市國父史蹟館(逸仙公園),25.04779,121.52042
捷運西門站(5號出口),25.04244,121.50864
弘道國中,25.03828,121.51524
臺北市第一女子高級中學,25.0385,121.51288
台北市替代役中心,25.01808,121.5275
紹興徐州路口,25.04051,121.52401
羅斯福寧波東街口,25.03145,121.51941
自來水園區,25.01328,121.53004
仁愛林森路口,25.03895,121.52233
捷運西門站(3號出口),25.04178,121.50869
仁愛金山路口,25.0384,121.52801
杭州南路一段101巷口,25.03746,121.52799
仁愛杭州路口,25.03846,121.52497
龍興里活動中心,25.02815,121.51108
植物園,25.0299,121.51033
郵政博物館,25.03158,121.51464
林森北平路口,25.04659,121.52377
北平紹興路口,25.04597,121.52579
天津北平路口,25.04692,121.52208
捷運忠孝新生站(1號出口),25.04272,121.53207
捷運忠孝新生站(5號出口),25.04113,121.53273
捷運臺大醫院站(1號出口),25.04074,121.51586
臺大醫院兒童醫院,25.04461,121.5188
林森濟南路口(東北側),25.0425,121.5227
仁愛紹興街口(南側),25.03837,121.52345
中華南海路口,25.02703,121.50686
立法院台北會館,25.03371,121.51068
捷運善導寺站(3號出口)(忠孝東路側),25.04467,121.52357
國家音樂廳,25.03788,121.51904
忠孝西重慶南路口,25.04724,121.51272
濟南路二段8巷口,25.04127,121.52697
仁愛金山路口(東南側),25.03811,121.52855
臺灣文學基地,25.04148,121.5287
重慶南詔安街口,25.02507,121.51645
文光公園,25.03898,121.53058
捷運中正紀念堂站(2號出口),25.03212,121.51861
螢圃里小公園,25.02484,121.51973
螢橋公園,25.02682,121.51737
泉州寧波西街口,25.02965,121.51415
通北街65巷口,25.08251,121.54004
圓山風景區,25.07805,121.5295
樂群二堤頂大道口,25.0803,121.56251
劍潭社區,25.08524,121.53748
培英公園,25.08258,121.54462
樂群二明水路口,25.08009,121.55226
北安大直街口,25.08474,121.54968
捷運劍南路站(2號出口),25.08401,121.55535
樂群二敬業三路口,25.07985,121.55609
樂群二敬業四路口,25.07976,121.55813
捷運大直站(3號出口),25.07923,121.5473
復興市民路口,25.04585,121.54375
南京遼寧街口,25.05176,121.54217
伊通長安路口,25.04833,121.53469
新生長安路口,25.04861,121.52935
市民林森路口,25.04796,121.52439
南京新生路口,25.05194,121.52766
一江公園,25.05316,121.53146
松江公園,25.05025,121.53273
新生長春路口,25.05639,121.52752
第二果菜批發市場,25.06642,121.53735
民生建國路口,25.05778,121.53692
興安華城,25.05606,121.54175
捷運中山國中站,25.06106,121.54406
龍江錦州街口,25.06045,121.54077
建國長春路口,25.05469,121.53686
南京建國路口,25.05214,121.5368
捷運松江南京站(7號出口),25.05246,121.5332
朱崙商場,25.04762,121.54043
中吉公園,25.05604,121.53166
華山公園,25.0471,121.5277
建國北路一段17巷,25.04699,121.53735
江寧公園,25.0614,121.53929
民權龍江路口,25.06225,121.54107
捷運中山國小站(2號出口),25.06246,121.52705
捷運行天宮站(3號出口),25.05992,121.5333
林森農安街口,25.06531,121.52565
捷運中山國小站(4號出口),25.06283,121.52697
農安雙城街口,25.06491,121.52449
新生德惠街口,25.06652,121.52762
民族林森路口,25.06847,121.52559
臺北市立美術館,25.06987,121.52291
中山民族路口,25.06816,121.52265
新生高架停車場(林森北路107巷口),25.04983,121.52853
南京林森路口(東南側),25.05201,121.52556
仁德公園,25.05337,121.5289
中原公園,25.05583,121.52821
下埤公園,25.06682,121.54213
五常國中,25.06505,121.54366
榮星花園,25.06424,121.54037
民權建國路口,25.06251,121.53765
松江路431巷口,25.06585,121.53338
新喜公園,25.06533,121.53177
吉林路407巷口,25.06595,121.53041
民族松江路口,25.06833,121.5328
林安泰古厝,25.07154,121.53058
中山公民會館,25.06185,121.5226
渭水八德路口,25.04573,121.53508
捷運中山站(2號出口),25.05228,121.52176
撫順公園,25.06416,121.52203
新生公園,25.06839,121.53032
捷運行天宮站(1號出口),25.05867,121.53305
林森長春路口,25.05497,121.52536
建國農安街口,25.06503,121.53678
松江路77巷口,25.04985,121.53312
建國長安路口,25.04836,121.53669
市民新生路口,25.04611,121.53193
民權吉林路口,25.06269,121.53061
中山農安街口,25.0651,121.5224
捷運行政大樓,25.05575,121.52168
中吉公園(松江路188巷),25.0568,121.53191
吉林路123巷口,25.05731,121.53021
中原民生路口,25.05808,121.52887
國立臺北大學(臺北校區),25.05794,121.54244
錦州吉林路口,25.06028,121.52991
中山北路二段59巷口,25.05606,121.5229
永盛公園(民生東路一段23巷),25.05873,121.52488
新生錦州街口,25.05955,121.52744
濱江街199巷口,25.0734,121.53985
大佳社區公園,25.07275,121.5373
濱江果菜市場,25.06807,121.53673
興安合江路口,25.05619,121.53949
復興北路514巷口東側,25.06597,121.54117
台泥大樓,25.06142,121.52305
植福樂群路口,25.08303,121.5604
新興公園,25.06157,121.52439
南京伊通街口,25.05189,121.53517
南京龍江路口,25.05205,121.54012
撫順街41巷(崇德宮前),25.06389,121.51916
臺北市立圖書館大直分館,25.08152,121.54646
捷運大直站(1號出口),25.0801,121.54708
捷運松江南京站(4號出口),25.0512,121.53312
中429公園,25.07864,121.55557
長春路137巷口,25.05791,121.53114
松江民生路口,25.05765,121.53299
松江路132巷口,25.05277,121.53013
長春吉林路口,25.05481,121.53032
長春一江街口,25.05488,121.53142
捷運松江南京站(8號出口),25.05215,121.53276
南京一江街口,25.05215,121.53171
松江長春路口,25.05499,121.53295
經國七海文化園區,25.07802,121.53511
民族玉門街口,25.06873,121.52003
新生農安街口,25.06493,121.52778
稻江高級護理家事職業學校,25.06532,121.52848
捷運大直站(3號出口),25.07934,121.54671
樂群二明水路口,25.07983,121.55236
民權吉林路口(南側),25.06245,121.53014
長春龍江路口,25.05473,121.54026
民權新生路口,25.06305,121.52776
建國長春路口(北側),25.05476,121.53693
中山行政中心,25.06432,121.53349
臺北市立美術館,25.07063,121.52327
劍潭社區,25.08476,121.53789
濱江國小游泳池,25.07818,121.56175
林森公園,25.05223,121.52581
中428公園,25.07825,121.55337
復華公園,25.05339,121.5401
新生民族路口(西南側),25.06819,121.52767
捷運南京復興站(1號出口),25.05253,121.54256
八德市場(北側),25.04478,121.53661
龍江朱崙街口,25.05004,121.54043
大直街94巷,25.08431,121.54755
捷運南京復興站(8號出口),25.05196,121.5433
民權建國路口(南側),25.06228,121.53702
林森德惠街口,25.06688,121.5257
新生濱江街口(東南側),25.07059,121.52812
新生北路一段62巷口,25.04699,121.53075
新生長春路口(東北側),25.05532,121.52769
捷運劍南路站(1號出口),25.08519,121.55498
敬業三樂群三路口(西北側),25.08272,121.55624
長春路258巷2弄口,25.05427,121.53896
長寧大廈社區(南側),25.05418,121.54332
建國五常街口,25.06419,121.53732
中山北路二段62巷口,25.05676,121.52268
市民安東街口,25.0448,121.54213
市民大道二段5巷口,25.04812,121.52166
捷運中山站(3號出口),25.05236,121.52212
文湖街21巷118弄口,25.09122,121.55961
北勢湖環保公園,25.08378,121.56208
洲子一號公園,25.07977,121.56454
西康公園,25.08284,121.56449
文湖國小,25.08637,121.56088
文湖街81巷10號西側,25.08707,121.56406
德明財經科技大學,25.08637,121.56574
麗山國小,25.08311,121.57155
麗山高中,25.08398,121.57725
港華五號公園,25.08522,121.57462
大湖國小,25.08803,121.59958
安湖三號公園,25.07021,121.61593
東湖路113巷95弄,25.07177,121.61491
瑞光計程車服務站,25.0745,121.57389
文德三號公園(江南街71巷16弄),25.07524,121.5772
捷運大湖公園站(2號出口),25.08395,121.60185
康寧星雲街口,25.07958,121.59336
星雲街47號,25.07864,121.59177
捷運西湖站(1號出口),25.08301,121.56638
捷運西湖站(2號出口),25.08205,121.56716
洲子二號公園,25.07932,121.56869
港都公園,25.08296,121.5752
環山路二段26巷口,25.08598,121.572
成功金龍路口,25.08436,121.59478
碧山公園,25.0878,121.59227
金瑞公園,25.08785,121.5879
捷運文德站(2號出口),25.07842,121.58464
陽光公園,25.07695,121.58764
文德二號公園(南側),25.07504,121.58375
文德二號公園(北側),25.07758,121.58381
瑞陽公園,25.07777,121.57961
湖光國宅,25.07538,121.58079
潭美街213號,25.05575,121.58486
南京東路六段180號,25.0559,121.57991
潭美國小(南京舊宗路口),25.05768,121.58159
新明路343號,25.05653,121.58345
週美里活動廣場,25.0539,121.58084
內湖行政中心,25.06915,121.58898
樂康公園,25.07007,121.62055
安康路32巷24弄,25.06181,121.59447
明美公園,25.06256,121.58607
