name,star,comment,class,address,latitude,longitude
河堤籃球場,0,0,運動協會,新北市新店區中央一街55號13樓,24.9736851,121.5259921
貿商籃球場,4.1,17,籃球場,新北市五股區登林路,25.0692571,121.42968
波特少棒,0,0,棒球隊,facebook.com,25.0498061,121.5376
福和運動公園足球場,4.1,10,足球場,新北市永和區234,25.0074788,121.5270753
荷花籃球場,4.1,16,籃球場,新北市三重區疏洪一路,25.0636694,121.4744569
三重河堤籃球場,4.1,114,主場,"號, No. 219環河南路三重區新北市241",25.050539,121.4931565
大漢足球場,4.5,4,足球場,新北市板橋區220,25.0349085,121.4658592
Basepara貝思沛拉棒球學校,5,348,培訓中心,新北市泰山區公園路54號,25.0557017,121.4266197
江子翠籃球場,4,2,籃球場,新北市板橋區220,25.0357471,121.468224
新海籃球場,4.5,2,籃球場,新北市板橋區220,25.030107,121.4570003
