name,class,address,latitude,longitude,"latitude, longitude"
國立政治大學附屬高級中學,高中,台北市文山區政大一街353號,24.9877087,121.5851575,"24.9877087, 121.5851575"
臺北市私立東山高級中學,學校,台北市文山區老泉街26巷3號,24.9733741,121.5615447,"24.9733741, 121.5615447"
臺北市私立滬江高級中學,學校,台北市文山區羅斯福路六段336號,24.9894519,121.5389166,"24.9894519, 121.5389166"
臺北市私立大誠高級中學,高中,台北市文山區秀明路二段175號,24.9909915,121.5785621,"24.9909915, 121.5785621"
臺北市私立再興學校,高中,台北市文山區興隆路四段二號,24.9901829,121.5582292,"24.9901829, 121.5582292"
臺北市景文高級中學,高中,台北市文山區保儀路127號,24.9852437,121.5681869,"24.9852437, 121.5681869"
臺北市私立靜心高級中學,高中,台北市文山區興隆路二段46號,24.9987787,121.5468002,"24.9987787, 121.5468002"
臺北市立景美女子高級中學,女子高中,台北市文山區木新路三段312號,24.9807217,121.5560706,"24.9807217, 121.5560706"
臺北市立萬芳高級中學,高中,台北市文山區興隆路三段115巷1號,25.000544,121.5588384,"25.000544, 121.5588384"
臺北市數位實驗高級中等學校弘道基地,高中,台北市中正區公園路21號,25.0375581,121.5152991,"25.0375581, 121.5152991"
臺北市立木柵高級工業職業學校,職業學院,台北市文山區木柵路四段77號,24.9968638,121.5726322,"24.9968638, 121.5726322"
臺北市立南港高級中學,高中,台北市南港區向陽路21號,25.0522308,121.5944079,"25.0522308, 121.5944079"
臺北市立育成高級中學,高中,台北市南港區重陽路366號,25.0580409,121.6092336,"25.0580409, 121.6092336"
臺北市立南港高級工業職業學校,職業學院,台北市南港區興中路29號,25.0563331,121.6071584,"25.0563331, 121.6071584"
臺北市私立文德女子高級中學,女子高中,台北市內湖區成功路三段70號,25.0776451,121.5891099,"25.0776451, 121.5891099"
臺北市私立方濟高級中學,私立學校,台北市內湖區成功路三段61號,25.0773094,121.5905296,"25.0773094, 121.5905296"
天主教達人高級中學,高中,台北市內湖區內湖路二段314號,25.0809256,121.5877653,"25.0809256, 121.5877653"
臺北市立內湖高級中學,高中,台北市內湖區文德路218號,25.0778767,121.5867851,"25.0778767, 121.5867851"
臺北市立麗山高級中學,高中,台北市內湖區環山路二段100號,25.085124,121.5779044,"25.085124, 121.5779044"
臺北市立南湖高級中學,高中,台北市內湖區康寧路三段220號,25.0665361,121.6107101,"25.0665361, 121.6107101"
臺北市立內湖高級工業職業學校,職業學院,台北市內湖區內湖路一段520號,25.0792292,121.5750963,"25.0792292, 121.5750963"
臺北市私立泰北高級中學,私立學校,台北市士林區福林里福林路240號,25.0969897,121.5348014,"25.0969897, 121.5348014"
臺北市私立衛理女子高級中學,女子高中,台北市士林區至善路二段321號,25.1024247,121.5519342,"25.1024247, 121.5519342"
臺北市私立華興高級中學,中學,台北市士林區仰德大道一段101號,25.1045441,121.5387415,"25.1045441, 121.5387415"
臺北市私立華岡藝術學校,藝術學校,台北市士林區建業路73巷8號,25.1371454,121.5490945,"25.1371454, 121.5490945"
臺北市立陽明高級中學,高中,台北市士林區中正路510號,25.0918395,121.5171309,"25.0918395, 121.5171309"
臺北市立百齡高級中學,高中,台北市士林區承德路四段177號,25.0869702,121.5230445,"25.0869702, 121.5230445"
臺北市立士林高級商業職業學校,職業學校,台北市士林區士商路150號,25.0943198,121.5163483,"25.0943198, 121.5163483"
薇閣高中,私立學校,台北市北投區珠海路50號,25.1386737,121.5036265,"25.1386737, 121.5036265"
臺北市私立幼華高級中學,私立學校,台北市北投區北投路二段55號,25.1332359,121.4965533,"25.1332359, 121.4965533"
